,N,Должность,Язык.программирования,Специализация,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Университет,Еще.студент,Уровень.английского,Предметная.область,Дата.заполнения,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
2433,2434,Software Engineer,Python,,10 и более лет,меньше 3 месяцев,1900,700,Удаленно,до 10 человек,Стартап,мужской,29,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,eCommerce",13/06/2017 12:19:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",10.0,0.0,1900,,DEV,1799.07
2454,2455,Software Engineer,Python,,1.5,0.5,500,0,Харьков,до 1000 человек,Другая,мужской,24,Высшее,НТУ «ХПИ»,False,ниже среднего,"Веб-разработка,Корпоративные системы",13/06/2017 12:20:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.5,500,,DEV,1799.07
2463,2464,Software Engineer,Python,,6,3,3000,800,Днепр,до 50 человек,Продуктовая,мужской,27,Высшее,ДНУ им. Гончара,False,продвинутый,Веб-разработка,13/06/2017 12:21:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",6.0,3.0,3000,,DEV,1799.07
2474,2475,Software Engineer,Python,,2,0.25,1500,200,Киев,до 1000 человек,Продуктовая,мужской,23,Незаконченное высшее,НТУУ «КПИ»,False,средний,Веб-разработка,13/06/2017 12:21:53,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",2.0,0.25,1500,,DEV,1799.07
2557,2558,Software Engineer,Python,,3,1.5,2300,300,Другой,до 200 человек,Продуктовая,мужской,25,Два высших,ХНЭУ,False,выше среднего,"Веб-разработка,eCommerce",13/06/2017 12:29:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,1.5,2300,,DEV,1799.07
2632,2633,Technical Lead,Python,,4,1.5,3500,1000,Киев,до 50 человек,Продуктовая,мужской,23,Незаконченное высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,13/06/2017 12:37:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,1.5,3500,,SDEV,3165.909090909091
2652,2653,Software Engineer,Python,,4,меньше 3 месяцев,1700,100,Киев,до 10 человек,Продуктовая,мужской,26,Техникум / Колледж,,False,средний,"Веб-разработка,eCommerce",13/06/2017 12:39:39,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,0.0,1700,,DEV,1799.07
2661,2662,Software Engineer,Python,,1,0.25,1100,900,Киев,до 10 человек,Аутстаффинговая,мужской,20,Высшее,НАУ,False,продвинутый,"Веб-разработка,Другое",13/06/2017 12:41:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",1.0,0.25,1100,,DEV,1799.07
2768,2769,Software Engineer,Python,,4,1,1880,250,Днепр,свыше 1000 человек,Аутсорсинговая,мужской,31,Техникум / Колледж,,False,ниже среднего,Веб-разработка,13/06/2017 12:57:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,1.0,1880,,DEV,1799.07
2781,2782,Software Engineer,Python,,5,1,2000,1000,Киев,до 10 человек,Стартап,мужской,27,Высшее,Другой вуз,False,средний,Веб-разработка,13/06/2017 12:59:43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,2000,,DEV,1799.07
2795,2796,Junior Software Engineer,Python,,2,0.5,1000,100,Полтава,до 10 человек,Продуктовая,мужской,23,Высшее,Другой вуз,True,средний,Веб-разработка,13/06/2017 13:02:17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1000,,DEV,560.8412698412699
2834,2835,Junior Software Engineer,Python,,1,0.5,300,0,Львов,до 200 человек,Аутсорсинговая,мужской,22,Высшее,ЧГУ им. Петра Могилы,False,выше среднего,Веб-разработка,13/06/2017 13:11:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",1.0,0.5,300,,DEV,560.8412698412699
2837,2838,Senior Software Engineer,Python,,4,2,2400,200,Харьков,до 50 человек,Аутстаффинговая,мужской,29,Высшее,ДНУ им. Гончара,False,элементарный,"Веб-разработка,eCommerce",13/06/2017 13:12:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,2.0,2400,,DEV,3387.0967741935483
2904,2905,Software Engineer,Python,,0.5,0.25,1300,850,Киев,до 50 человек,Стартап,мужской,28,Высшее,ХНУРЭ,False,продвинутый,"Веб-разработка,Корпоративные системы",13/06/2017 13:28:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.25,1300,,DEV,1799.07
2908,2909,Junior Software Engineer,Python,,меньше 3 месяцев,меньше 3 месяцев,500,0,Киев,до 10 человек,Аутсорсинговая,мужской,24,Высшее,ГУТ,False,выше среднего,"Веб-разработка,Финансы и банки",13/06/2017 13:28:52,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,500,,DEV,560.8412698412699
2946,2947,Senior Software Engineer,Python,,6,1.5,3200,200,Львов,до 1000 человек,Аутсорсинговая,мужской,32,Высшее,ХАИ,False,выше среднего,"Веб-разработка,Корпоративные системы",13/06/2017 13:40:17,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0,6.0,1.5,3200,,DEV,3387.0967741935483
2959,2960,Junior Software Engineer,Python,,2,2,800,250,Львов,свыше 1000 человек,Аутсорсинговая,мужской,24,Высшее,ЛНУ им. Франко,False,средний,Веб-разработка,13/06/2017 13:45:43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,800,,DEV,560.8412698412699
2983,2984,Junior Software Engineer,Python,,1.5,1.5,400,100,Ивано-Франковск,до 200 человек,Аутсорсинговая,женский,23,Высшее,ЛНУ им. Франко,False,выше среднего,Веб-разработка,13/06/2017 13:53:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.113 Safari/537.36",1.5,1.5,400,,DEV,560.8412698412699
3044,3045,Software Engineer,Python,,4,1.5,1000,200,Львов,до 10 человек,Аутсорсинговая,мужской,29,Высшее,Другой вуз,False,выше среднего,Веб-разработка,13/06/2017 14:14:30,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",4.0,1.5,1000,,DEV,1799.07
3050,3051,Software Engineer,Python,,1,0.25,1500,1000,Киев,до 10 человек,Продуктовая,мужской,30,Высшее,ДонНТУ,False,средний,"Веб-разработка,Финансы и банки",13/06/2017 14:16:08,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.0,0.25,1500,,DEV,1799.07
3145,3146,Technical Lead,Python,,10 и более лет,2,1425,475,Киев,до 50 человек,Аутсорсинговая,мужской,43,Высшее,КНУ им. Шевченко,False,выше среднего,Корпоративные системы,13/06/2017 14:51:19,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0,10.0,2.0,1425,,SDEV,3165.909090909091
3149,3150,Junior Software Engineer,Python,,0.25,0.25,400,0,Киев,до 10 человек,Другая,мужской,21,Незаконченное высшее,НТУУ «КПИ»,True,средний,Веб-разработка,13/06/2017 14:52:32,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,400,,DEV,560.8412698412699
3156,3157,Software Engineer,Python,,1.5,0.5,1000,500,Киев,до 10 человек,Продуктовая,мужской,26,Высшее,НАУ,False,средний,Веб-разработка,13/06/2017 14:55:45,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0,1.5,0.5,1000,,DEV,1799.07
3158,3159,Junior Software Engineer,Python,,0.5,0.5,550,200,Харьков,до 50 человек,Аутсорсинговая,мужской,27,Незаконченное высшее,ХНУРЭ,False,средний,Веб-разработка,13/06/2017 14:56:15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",0.5,0.5,550,,DEV,560.8412698412699
3176,3177,Senior Software Engineer,Python,,6,0.25,3500,0,Киев,до 10 человек,Аутстаффинговая,мужской,26,Высшее,НАУ,False,средний,Другое,13/06/2017 15:06:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,0.25,3500,,DEV,3387.0967741935483
3232,3233,Software Engineer,Python,,2,2,2700,1000,Киев,до 50 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,НАУ,True,продвинутый,"Веб-разработка,eCommerce",13/06/2017 15:34:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2.0,2.0,2700,,DEV,1799.07
3267,3268,Junior Software Engineer,Python,,1,меньше 3 месяцев,900,600,Киев,до 1000 человек,Аутсорсинговая,мужской,21,Высшее,НТУУ «КПИ»,False,средний,"Веб-разработка,Другое",13/06/2017 15:52:33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,900,,DEV,560.8412698412699
3415,3416,Software Engineer,Python,,2,0.5,1000,700,Николаев,до 50 человек,Продуктовая,мужской,27,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,13/06/2017 17:30:37,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",2.0,0.5,1000,,DEV,1799.07
3480,3481,Software Engineer,Python,,2,1,1500,500,Киев,до 50 человек,Аутсорсинговая,мужской,40,Высшее,ХАИ,False,выше среднего,"Веб-разработка,eCommerce",13/06/2017 18:39:42,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,1.0,1500,,DEV,1799.07
3482,3483,Software Engineer,Python,,4,3,1700,100,Харьков,до 1000 человек,Продуктовая,мужской,26,Высшее,ХНУРЭ,False,выше среднего,Системное программирование,13/06/2017 18:39:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",4.0,3.0,1700,,DEV,1799.07
3488,3489,Software Engineer,Python,,8,1.5,2000,200,Львов,до 50 человек,Аутстаффинговая,мужской,28,Незаконченное высшее,Другой вуз,False,ниже среднего,Веб-разработка,13/06/2017 18:48:48,"Mozilla/5.0 (Linux; Android 6.0.1; MI 5 Build/MXB48T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",8.0,1.5,2000,,DEV,1799.07
3523,3524,Software Engineer,Python,,4,1.5,3000,1000,Киев,до 200 человек,Аутсорсинговая,мужской,23,Высшее,КНУ им. Шевченко,False,выше среднего,"Веб-разработка,Другое",13/06/2017 19:39:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.5,3000,,DEV,1799.07
3532,3533,Software Engineer,Python,,2,2,1900,400,Киев,до 10 человек,Стартап,мужской,32,Высшее,НТУУ «КПИ»,False,продвинутый,Веб-разработка,13/06/2017 19:54:30,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,2.0,1900,,DEV,1799.07
3542,3543,Junior Software Engineer,Python,,0.5,0.5,700,0,Львов,до 50 человек,Аутсорсинговая,мужской,42,Высшее,Львовская Политехника,False,средний,Веб-разработка,13/06/2017 20:10:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,700,,DEV,560.8412698412699
3621,3622,Software Engineer,Python,,4,2,1700,600,Киев,свыше 1000 человек,Аутсорсинговая,женский,26,Высшее,НГУ [Днепропетровск],False,выше среднего,"Веб-разработка,Другое",13/06/2017 21:54:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,2.0,1700,,DEV,1799.07
3658,3659,Software Engineer,Python,,10 и более лет,0.5,2200,0,Днепр,свыше 1000 человек,Аутсорсинговая,мужской,38,Высшее,ДНУ им. Гончара,False,средний,"Веб-разработка,Корпоративные системы",13/06/2017 22:40:45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,2200,,DEV,1799.07
3679,3680,Junior Software Engineer,Python,,0.25,0.25,500,200,Киев,до 1000 человек,Продуктовая,мужской,20,Незаконченное высшее,НТУУ «КПИ»,True,средний,Веб-разработка,13/06/2017 23:07:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",0.25,0.25,500,,DEV,560.8412698412699
3722,3723,Senior Software Engineer,Python,,5,3,3100,0,Киев,до 1000 человек,Аутсорсинговая,мужской,26,Незаконченное высшее,Другой вуз,False,выше среднего,"Веб-разработка,Системное программирование",14/06/2017 00:26:52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,3.0,3100,,DEV,3387.0967741935483
3780,3781,Junior Software Engineer,Python,,1.5,1,500,250,Днепр,до 10 человек,Аутсорсинговая,мужской,43,Высшее,ХНУРЭ,False,средний,Веб-разработка,14/06/2017 09:00:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",1.5,1.0,500,,DEV,560.8412698412699
3821,3822,Junior Software Engineer,Python,,1,меньше 3 месяцев,230,75,Другой,до 10 человек,Другая,мужской,28,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,14/06/2017 10:12:26,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.0,0.0,230,,DEV,560.8412698412699
3827,3828,Software Engineer,Python,,4,1,1750,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,28,Среднее,,False,ниже среднего,Веб-разработка,14/06/2017 10:18:48,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0,4.0,1.0,1750,,DEV,1799.07
3838,3839,Software Engineer,Python,,6,5,1200,200,Херсон,до 50 человек,Продуктовая,мужской,30,Высшее,Другой вуз,False,средний,Веб-разработка,14/06/2017 10:35:35,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,6.0,5.0,1200,,DEV,1799.07
3854,3855,Software Engineer,Python,,2,2,2100,830,Днепр,до 1000 человек,Продуктовая,мужской,27,Высшее,ДНУ им. Гончара,False,ниже среднего,Веб-разработка,14/06/2017 10:48:28,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,2.0,2100,,DEV,1799.07
3871,3872,Junior Software Engineer,Python,,меньше 3 месяцев,меньше 3 месяцев,300,0,Львов,до 50 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,Львовская Политехника,True,средний,Веб-разработка,14/06/2017 11:18:58,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.0,0.0,300,,DEV,560.8412698412699
3874,3875,Software Engineer,Python,,4,1,2000,0,Львов,до 200 человек,Аутсорсинговая,мужской,25,Высшее,Львовская Политехника,False,выше среднего,"Веб-разработка,Корпоративные системы",14/06/2017 11:21:20,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.0,2000,,DEV,1799.07
3935,3936,Technical Lead,Python,,10 и более лет,0.25,3700,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,34,Высшее,Другой вуз,False,выше среднего,"Embedded,Другое",14/06/2017 12:26:36,"Mozilla/5.0 (Linux; Android 5.0; SM-N900V Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,0.25,3700,,SDEV,3165.909090909091
3995,3996,Software Engineer,Python,,5,1,1650,0,Одесса,до 10 человек,Продуктовая,мужской,30,Высшее,Другой вуз,False,средний,Веб-разработка,14/06/2017 14:21:58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,1.0,1650,,DEV,1799.07
4025,4026,Software Engineer,Python,,3,меньше 3 месяцев,2400,1000,Львов,до 200 человек,Аутсорсинговая,мужской,25,Высшее,Львовская Политехника,False,выше среднего,"Веб-разработка,Корпоративные системы",14/06/2017 15:21:29,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",3.0,0.0,2400,,DEV,1799.07
4079,4080,Software Engineer,Python,,9,2,5400,600,Удаленно,до 10 человек,Продуктовая,мужской,34,Высшее,ЗНТУ,False,выше среднего,"Desktop Applications,Другое",14/06/2017 16:45:46,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",9.0,2.0,5400,,DEV,1799.07
4186,4187,Junior Software Engineer,Python,,1,0.5,750,0,Львов,до 50 человек,Аутсорсинговая,мужской,39,Высшее,Львовская Политехника,False,ниже среднего,Веб-разработка,14/06/2017 21:41:54,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,750,,DEV,560.8412698412699
4236,4237,Software Engineer,Python,,5,1.5,2300,300,Львов,до 1000 человек,Аутсорсинговая,мужской,29,Высшее,Львовская Политехника,False,средний,"Корпоративные системы,Другое",15/06/2017 00:17:57,Mozilla/5.0 (Android 5.0.2; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0,5.0,1.5,2300,,DEV,1799.07
4265,4266,Software Engineer,Python,,1,1,500,100,Одесса,до 50 человек,Аутсорсинговая,женский,29,Высшее,ОНПУ,False,выше среднего,"Веб-разработка,Корпоративные системы",15/06/2017 08:24:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,500,,DEV,1799.07
4323,4324,Technical Lead,Python,,2,2,3300,800,Харьков,до 200 человек,Аутсорсинговая,мужской,26,Высшее,ХНУРЭ,False,средний,Веб-разработка,15/06/2017 11:16:57,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,2.0,3300,,SDEV,3165.909090909091
4550,4551,Software Engineer,Python,,3,0.5,1400,500,Херсон,свыше 1000 человек,Аутсорсинговая,мужской,18,Незаконченное высшее,Другой вуз,True,выше среднего,"Веб-разработка,Мультимедиа",16/06/2017 00:51:12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,1400,,DEV,1799.07
4599,4600,Software Engineer,Python,,3,1,1400,560,Удаленно,до 10 человек,Аутсорсинговая,мужской,22,Среднее,,False,выше среднего,Веб-разработка,16/06/2017 11:09:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,1400,,DEV,1799.07
4649,4650,Senior Software Engineer,Python,,4,меньше 3 месяцев,3300,300,Харьков,до 200 человек,Стартап,мужской,26,Высшее,ХНУРЭ,False,продвинутый,"Системное программирование,Другое",16/06/2017 14:00:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,0.0,3300,,DEV,3387.0967741935483
4665,4666,Software Engineer,Python,,1.5,1,900,400,Одесса,до 50 человек,Аутсорсинговая,мужской,26,Два высших,Другой вуз,False,выше среднего,Веб-разработка,16/06/2017 14:45:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,900,,DEV,1799.07
4705,4706,Software Engineer,Python,,3,2,1600,0,Киев,до 200 человек,Аутсорсинговая,мужской,22,Высшее,НТУУ «КПИ»,True,выше среднего,Системное программирование,16/06/2017 17:06:49,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",3.0,2.0,1600,,DEV,1799.07
4730,4731,Junior Software Engineer,Python,,2,1,500,100,Ровно,свыше 1000 человек,Аутсорсинговая,мужской,30,Высшее,Другой вуз,False,средний,"Системное программирование,Корпоративные системы",16/06/2017 19:30:26,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,2.0,1.0,500,,DEV,560.8412698412699
4746,4747,Technical Lead,Python,,5,3,2900,180,Днепр,до 10 человек,Аутстаффинговая,мужской,26,Высшее,ДНУ им. Гончара,False,выше среднего,Веб-разработка,16/06/2017 21:46:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,3.0,2900,,SDEV,3165.909090909091
4847,4848,Software Engineer,Python,,4,1.5,2000,200,Киев,до 50 человек,Продуктовая,мужской,27,Высшее,КНУ им. Шевченко,False,выше среднего,Другое,17/06/2017 19:18:58,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,4.0,1.5,2000,,DEV,1799.07
4855,4856,Junior Software Engineer,Python,,1.5,1.5,700,0,Львов,до 50 человек,Аутсорсинговая,мужской,36,Высшее,Львовская Политехника,False,средний,Другое,17/06/2017 20:02:35,"Mozilla/5.0 (Linux; Android 5.1.1; Redmi Note 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.5,700,,DEV,560.8412698412699
4876,4877,Software Engineer,Python,,3,0.5,1500,0,Львов,до 50 человек,Аутсорсинговая,мужской,24,Высшее,Другой вуз,False,выше среднего,Веб-разработка,17/06/2017 23:21:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,1500,,DEV,1799.07
4888,4889,Senior Software Engineer,Python,,8,меньше 3 месяцев,9200,2200,Другой,свыше 1000 человек,Продуктовая,мужской,27,Высшее,ДНУ им. Гончара,False,продвинутый,"Телекоммуникации,Корпоративные системы",18/06/2017 07:16:56,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0,8.0,0.0,9200,,DEV,3387.0967741935483
4952,4953,Junior Software Engineer,Python,,1,0.25,700,0,Киев,до 50 человек,Стартап,мужской,19,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,Веб-разработка,18/06/2017 19:40:22,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",1.0,0.25,700,,DEV,560.8412698412699
4966,4967,Software Engineer,Python,,1,1,700,400,Киев,до 10 человек,Стартап,мужской,26,Высшее,НТУУ «КПИ»,False,ниже среднего,Другое,18/06/2017 22:10:18,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,700,,DEV,1799.07
4971,4972,Junior Software Engineer,Python,,меньше 3 месяцев,меньше 3 месяцев,211,300,Киев,до 10 человек,Продуктовая,мужской,23,Высшее,КНУ им. Шевченко,True,выше среднего,Корпоративные системы,18/06/2017 22:51:36,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.0,0.0,211,,DEV,560.8412698412699
4973,4974,Junior Software Engineer,Python,,0.5,0.5,500,0,Одесса,до 10 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,ОНПУ,True,средний,Другое,18/06/2017 22:56:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,500,,DEV,560.8412698412699
5036,5037,Technical Lead,Python,,10 и более лет,0.5,6200,1200,Львов,до 50 человек,Продуктовая,мужской,35,Высшее,ЛНУ им. Франко,False,выше среднего,"Телекоммуникации,Корпоративные системы",19/06/2017 17:14:25,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,0.5,6200,,SDEV,3165.909090909091
5051,5052,Software Engineer,Python,,2,0.5,1800,300,Киев,до 200 человек,Аутсорсинговая,мужской,29,Высшее,КНУТД,False,продвинутый,Веб-разработка,19/06/2017 20:34:46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1800,,DEV,1799.07
